# time pixelation values
# data save on: 2024-05-14T14:20:45-03:00
equator	age	stage-pixel	value
180	0	3244	109
180	0	3246	109
180	0	3247	109
180	0	3248	109
180	0	3249	109
180	0	3250	109
180	0	3251	109
180	0	3252	109
180	0	3253	109
180	0	3254	109
180	0	3255	109
180	0	3260	109
180	0	3261	109
180	0	3262	109
180	0	3263	109
180	0	3264	109
180	0	3265	107
180	0	3266	107
180	0	3267	107
180	0	3268	107
180	0	3271	107
180	0	3272	107
180	0	3273	107
180	0	3274	107
180	0	3275	107
180	0	3276	107
180	0	3277	107
180	0	3278	107
180	0	3279	108
180	0	3346	107
180	0	3347	107
180	0	3348	109
180	0	3349	109
180	0	3353	109
180	0	3354	109
180	0	3359	110
180	0	3388	109
180	0	3389	109
180	0	3390	109
180	0	3391	109
180	0	3392	109
180	0	3393	109
180	0	3394	109
180	0	3395	109
180	0	3396	109
180	0	3397	109
180	0	3398	109
180	0	3399	109
180	0	3400	109
180	0	3401	109
180	0	3402	109
180	0	3403	109
180	0	3404	109
180	0	3405	109
180	0	3406	109
180	0	3407	109
180	0	3408	109
180	0	3409	109
180	0	3410	109
180	0	3411	109
180	0	3412	109
180	0	3415	109
180	0	3416	109
180	0	3417	109
180	0	3418	109
180	0	3419	110
180	0	3420	110
180	0	3421	110
180	0	3422	109
180	0	3430	109
